Lat,Long
35.17,-89.83
35.12,-90
35.12,-90.04
35.16,-89.85
35.11,-89.96
35.11,-89.96
35.12,-90
35.12,-90.04
35.12,-90
35.11,-89.98
35.11,-89.97
35.05,-89.93
35.12,-89.99
35.11,-89.97
35.12,-90.01
35.12,-89.99
35.11,-89.97
35.11,-89.97
35.11,-89.97
35.12,-89.99
35.11,-89.96
35.12,-90.01
35.11,-89.96
35.11,-89.97
35.12,-90
35.12,-90
35.11,-89.97
34.99,-89.86
35.12,-90
35.12,-90
35.12,-90
35.12,-89.99
35.12,-89.99
35.12,-90.04
35.12,-90
35.12,-90.03
35.12,-90.03
35.12,-89.99
35.12,-90.03
35.12,-90
35.12,-90.04
35.17,-89.95
35.12,-90
35.12,-90
35.12,-90
35.12,-89.99
35.1,-89.99
35.13,-90.03
35.12,-90.03
35.12,-90.03
35.12,-90.03
35.12,-90.03
35.12,-90.03
35.12,-90
35.12,-90.03
35.12,-90.03
35.12,-89.99
35.12,-90.03
35.12,-89.99
35.12,-90.04
35.12,-89.99
35.12,-90.04
35.12,-90.03
35.12,-90.04
35.12,-90.03
35.12,-90.03
35.12,-90.04
35.12,-89.99
35.12,-90.03
35.12,-90.03
35.12,-90
35.12,-90
35.03,-90.06
35.02,-89.92
35.12,-89.99
35.12,-90
35.12,-90.01
35.12,-89.99
35.12,-90.04
35.12,-89.99
35.12,-89.99
35.12,-89.99
35.12,-90
35.16,-89.95
35.09,-90.06
35.12,-90.03
35.12,-89.99
35.12,-90.01
35.12,-90
35.12,-89.99
35.12,-90.04
35.12,-89.99
35.11,-90.01
35.12,-90
35.12,-90.02
35.12,-90.04
35.12,-90
35.12,-90
35.17,-89.95
35.12,-89.99
35.12,-90.04
35.12,-90.04
35.12,-90
35.12,-90.01
35,-89.98
35.12,-90
35.13,-90.04
35.12,-89.99
35.12,-89.99
35.16,-89.95
35.12,-90.03
35.08,-90.02
35.17,-89.95
35.12,-90.04
35.12,-90.01
35.12,-90.04
35.12,-90
35.1,-89.99
35.18,-89.91
35.11,-90.03
35.11,-89.96
35.11,-90.06
35.17,-89.95
35.1,-90.05
35.16,-89.95
35.17,-89.95
35.14,-90.03
35.17,-89.95
35.12,-89.99
35.17,-89.95
35.17,-89.94
35.17,-89.94
35.12,-90.03
35.17,-89.95
35.17,-89.95
35.12,-90.04
35.17,-89.94
35.17,-89.95
35.12,-90.03
35.12,-90.05
35.17,-89.95
35.08,-90.02
35.04,-90.15
35.17,-89.94
35.08,-90.02
35.12,-90.04
35.12,-90.04
35.08,-89.96
35.17,-89.94
35.17,-89.93
35.2,-89.79
35.16,-89.96
35.17,-89.95
35.16,-89.96
35.17,-89.95
35.17,-89.93
35.16,-89.96
35.17,-89.94
35.12,-90.03
35.17,-89.93
35.17,-89.94
35.17,-89.95
35.12,-90.03
35.16,-89.95
35.16,-89.95
35.08,-90.02
35.16,-89.96
35.17,-89.93
35.17,-89.93
35.04,-90.15
35.17,-89.95
35.17,-89.95
35.04,-90.15
35.17,-89.95
35.12,-90.04
35.12,-90.03
35.17,-89.94
35.04,-90.15
35.12,-90.05
35.12,-90.03
35.17,-89.93
35.17,-89.93
35.11,-90.01
35.12,-90.04
35.12,-89.99
35.17,-89.94
35.04,-90.15
35.12,-89.99
35.09,-89.99
35.12,-90
35.17,-89.93
35.17,-89.93
35.17,-89.93
35.11,-89.98
35.12,-90
35.12,-90.03
35.17,-89.93
35.17,-89.93
35.11,-89.97
35.12,-89.98
35.12,-90.03
35.16,-89.96
35.12,-90
35.12,-90.04
35.11,-90
35.12,-90
35.12,-89.99
35.09,-89.98
35.17,-89.95
35.12,-90.03
35.22,-90.01
35.17,-89.93
35.17,-89.95
35.12,-90.03
35.17,-89.93
35.12,-90.04
35.12,-90.03
35.16,-89.96
35.12,-90
35.17,-89.93
35.17,-89.93
35.05,-89.92
35.12,-90.04
35.12,-90
35.15,-89.96
35.12,-90.04
35.16,-89.96
35.12,-89.99
35.13,-89.98
35.17,-89.95
35.17,-89.94
35.12,-89.99
35.11,-90
35.12,-90.04
35.17,-89.96
35.17,-89.94
35.12,-90.03
35.17,-89.94
35.17,-89.94
35.04,-89.92
35.17,-89.94
35.17,-89.93
35.12,-90.03
35.12,-89.99
35.17,-89.92
35.17,-89.92
35.12,-90.04
35.17,-89.88
35.16,-90.04
35.14,-89.96
35.18,-89.95
35.22,-89.97
35.09,-89.94
35.11,-89.98
35.14,-89.95
35.1,-89.88
35.22,-89.9
35.03,-90
35.2,-89.92
35.06,-89.99
35.17,-89.99
35.13,-90.02
35.09,-89.96
35.13,-89.97
35.15,-89.77
35.13,-89.97
35.02,-90.01
35.06,-90.05
35.09,-89.98
35.18,-89.87
35.04,-89.84
35.19,-90
35.04,-90.06
35.2,-89.89
35.13,-89.96
35.17,-89.88
35.01,-89.88
35.15,-90.02
35.03,-90.07
35,-90.1
35.12,-90.05
35.14,-89.92
35.14,-89.94
35.07,-90.05
35.07,-89.94
35.01,-89.83
35,-90.1
35.21,-90
35.13,-90.01
35.17,-89.85
35.03,-90
35.06,-89.86
35.06,-90.05
35.2,-90
35.14,-90.03
35.02,-90.02
35.07,-89.87
35.07,-89.92
35.11,-90.01
35.03,-90.07
35.05,-90.02
35.16,-89.84
35.01,-90.09
35.06,-89.79
35.04,-89.86
35.07,-89.84
35.14,-89.94
35.09,-89.93
35.06,-89.84
35.22,-89.97
35.17,-89.86
35.05,-90.02
35.15,-89.91
35.02,-89.92
35.05,-89.93
35.09,-89.96
35.14,-89.79
35.06,-89.9
35.13,-90
35.14,-89.96
35.04,-89.86
35.05,-89.93
35.23,-89.89
35.11,-90.03
35.04,-89.88
35.14,-89.94
35.13,-89.94
35.14,-89.94
35.23,-89.89
35.1,-89.86
35.05,-89.93
35.15,-89.89
35.21,-90.02
35.2,-89.75
35.05,-90.05
35.11,-90.02
35.01,-89.83
35.09,-89.93
35.13,-89.95
35.15,-89.77
35.2,-89.77
35.07,-89.92
35.12,-89.95
35.08,-90.12
35.1,-89.96
35.07,-89.87
35.16,-89.99
35.19,-89.89
35.01,-90.09
35.16,-89.95
35.02,-90
35.15,-89.99
35.14,-89.89
35.07,-89.93
35.03,-90.09
35.1,-89.84
35.1,-89.85
35.14,-90.05
35.06,-89.85
35.03,-90.07
35.12,-90.01
35.16,-89.87
35.14,-89.95
35.1,-89.89
35.17,-89.85
35.14,-90.05
35.14,-90.01
35.04,-90.06
35.04,-89.82
35.09,-89.94
35.13,-89.97
35.06,-89.9
35.13,-90
35.07,-89.98
35.03,-90.06
35.13,-90.02
35.17,-89.79
35.03,-89.99
35.11,-90.07
35.13,-89.88
35.15,-89.77
35.12,-89.79
35.05,-90.02
35.14,-89.91
35.1,-89.96
35.12,-89.97
35.09,-90.05
35.06,-89.86
35.1,-90.03
35.12,-89.98
35.13,-90.04
35.2,-89.91
35.13,-89.79
35.23,-89.89
35.1,-89.89
35.04,-89.9
35.1,-89.98
35.06,-89.88
35.05,-89.83
35.16,-89.79
35.1,-90.05
35.15,-89.79
35.02,-89.84
35.01,-89.85
35.14,-89.92
35.05,-89.83
35.05,-89.84
35.11,-89.94
35.03,-90.07
35.12,-89.98
35.05,-89.81
35.05,-89.84
35.14,-89.94
35.02,-89.92
35.12,-90.06
35.05,-89.95
35.1,-89.94
35.05,-90.05
35.17,-89.79
35.1,-90.02
35.05,-89.99
35.1,-89.87
35.01,-90.02
35.04,-90.06
35.02,-89.95
35.09,-89.96
35.02,-90
35.17,-89.97
35.06,-90
35.17,-89.97
35.13,-89.97
35.09,-89.85
35.05,-90.02
35.01,-89.88
35.11,-89.94
35.1,-89.86
35.1,-89.86
35.13,-90.03
35.07,-89.96
35.1,-89.93
35.11,-89.9
35.01,-90.09
35.05,-89.95
35.17,-89.97
35.18,-89.93
35,-90.02
35.14,-90.01
35.02,-90.02
35.22,-89.9
35.14,-90.01
35.07,-89.9
35.05,-89.87
35.14,-89.95
35.2,-89.82
35.01,-90.04
35.02,-89.84
35.07,-89.9
35.14,-90.05
35.19,-89.97
35,-90.02
35.05,-90
35.06,-90.02
35.02,-89.95
35.15,-89.94
35.08,-89.95
35.05,-90.05
35.06,-89.86
35.1,-89.86
35.11,-89.9
35.14,-89.92
35.15,-89.88
35.14,-90.01
35.13,-90.06
35.09,-89.96
35.1,-89.89
35.16,-89.93
35.2,-89.95
35.02,-89.92
35.11,-89.9
35.05,-90.04
35,-90.02
35.02,-90.06
35.05,-89.89
35.2,-89.89
35.21,-89.92
35.02,-89.88
35.17,-89.86
35,-90.05
35.22,-89.92
35.1,-89.98
35.05,-90.05
35.06,-89.88
35.21,-89.91
35.17,-89.92
35.22,-89.97
35.14,-89.93
35.05,-90.05
35.09,-90.05
35.15,-89.99
35.14,-89.96
35.14,-89.93
35.14,-90.01
35.02,-90
35.03,-90.02
35.03,-90.07
35.06,-90.02
35.14,-89.94
35.21,-90.03
35.17,-89.98
35,-89.88
35.07,-89.88
35.15,-89.77
35.06,-90
35.15,-89.79
35.08,-89.95
35.06,-89.85
35.07,-89.9
35.07,-89.87
35.11,-89.98
35.05,-89.95
35.2,-89.93
35.14,-89.93
35.07,-89.93
35.16,-89.87
35.03,-90.09
35.1,-90.03
35.08,-89.88
35.19,-89.89
35.08,-90.05
35.05,-90.07
35.22,-89.97
35.21,-89.91
35.15,-89.88
35.05,-89.95
35.1,-90.03
35.06,-89.93
35.04,-89.82
35.05,-89.93
35.04,-89.82
35.21,-90.03
35.12,-90.05
35.1,-89.93
35.05,-89.99
35.06,-90.05
35.05,-89.86
35.1,-90.03
35.14,-89.98
35.01,-90.02
35.15,-89.98
35.14,-90.01
35.17,-89.98
35.11,-90.04
35.05,-89.82
35.04,-89.88
35.11,-90.02
35.14,-89.92
35.09,-89.97
35.12,-90.03
35.12,-89.99
35.11,-90.06
35.16,-89.79
35.05,-89.83
35.14,-89.92
35.08,-89.93
35.11,-90.06
35.05,-89.83
35.12,-90.03
35.2,-89.89
35.2,-89.91
35.03,-89.86
35.05,-89.88
35.21,-89.91
35.15,-89.88
35.22,-90
35.09,-90.05
35.03,-90.02
35.17,-89.86
35.05,-90.02
35.14,-89.94
35.04,-89.82
35.1,-89.86
35.09,-90.05
35.03,-89.92
35.08,-90.05
35.2,-89.89
35.02,-89.93
35.01,-90.06
35.14,-90.03
35.11,-90.02
35.07,-89.84
35.05,-90.05
35.11,-90.02
35.16,-89.85
35.02,-89.95
35.06,-89.93
35,-90.02
35.13,-90.05
35.1,-89.98
35.06,-90.02
35.02,-89.93
35.09,-89.96
35.14,-89.94
35.11,-90.04
35.1,-89.93
35.17,-89.86
35.05,-89.99
35.15,-90.01
35.05,-89.93
35,-90.02
35.07,-89.87
35.04,-90.12
35.11,-90.04
35.13,-89.94
35.04,-89.81
35.18,-89.92
35.16,-89.95
35.07,-89.87
35.14,-89.9
35.04,-89.88
35.04,-89.86
35.05,-89.87
35.13,-90.03
35.15,-90.03
35.08,-89.95
35.09,-89.93
35.14,-89.97
35.17,-89.99
35.22,-89.97
35.08,-90.05
35.09,-89.83
35.01,-90.05
35.06,-90.01
35.11,-89.88
35.06,-89.84
35.15,-90.02
35.1,-90.07
35.03,-90.09
35.09,-89.9
35.05,-90
35.14,-89.94
35.13,-90
35.19,-89.79
35.19,-89.89
35.15,-89.88
35.17,-89.86
35.14,-90.03
35.09,-89.93
35.03,-89.99
35.11,-90.02
35.04,-90
35.05,-90
35.17,-89.86
35.13,-89.96
35.22,-89.9
35.13,-89.99
35.02,-90.07
35.05,-90.02
35.16,-89.92
35.11,-89.89
35.2,-89.89
35.05,-89.99
35.1,-89.98
35.15,-89.77
35.13,-89.79
35.18,-89.83
35.2,-89.92
35.09,-89.99
35.06,-89.88
35.09,-89.96
35.11,-90.02
35.03,-90
35.14,-90.05
35.21,-89.91
35.07,-89.88
35.21,-89.91
35.05,-89.92
35.22,-89.97
35.21,-90.01
35.11,-89.98
35.09,-89.99
35.2,-89.92
35.07,-89.87
35.09,-89.91
35.2,-89.79
35.1,-89.94
35.03,-89.86
35.13,-90.02
35.16,-89.87
35.12,-90.06
35.14,-90.04
35.15,-90.02
35.05,-90.02
35.1,-89.87
35.06,-90.05
35.14,-89.89
35.13,-90.01
